Identifier-Analyte	Analyte_Name
A105004-101-xxx	M000000_A105004-101-xxx_NA_222471,44_PRED_VAR5_FAME_NA
A105006-101-xxx	M000000_A105006-101-xxx_NA_0_FALSE_VAR5_FAME_1-Cyclohexenol_1TMS
A106001-101-xxx	M000000_A106001-101-xxx_NA_228906,44_TRUE_VAR5_FAME_Hexanoic acid (1TMS)
A106002-101-xxx	M000000_A106002-101-xxx_NA_228762,94_TRUE_VAR5_FAME_Glycolic acid (2TMS)
A106004-101-xxx	M000000_A106004-101-xxx_NA_225867,33_PRED_VAR5_FAME_D106098
A107001-101-xxx	M000000_A107001-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-059
A108001-101-xxx	M000000_A108001-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A108002-101-xxx	M000000_A108002-101-xxx_NA_234977,78_TRUE_VAR5_FAME_Pyruvic acid (2TMS)
A108004-101-xxx	M000000_A108004-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-D03
A109001-101-xxx	M000000_A109001-101-xxx_NA_240242,97_TRUE_VAR5_FAME_Valine (1TMS)
A109003-101-xxx	M000000_A109003-101-xxx_NA_246023,31_PRED_VAR5_FAME_NA109003 (classified unknown)
A109004-101-xxx	M000000_A109004-101-xxx_NA_0_FALSE_VAR5_FAME_Pyrazine, 2-hydroxy-3-methyl- (1TMS)
A110001-101-xxx	M000000_A110001-101-xxx_NA_243456,67_TRUE_VAR5_FAME_Alanine (2TMS)
A110002-101-xxx	M000000_A110002-101-xxx_NA_0_FALSE_VAR5_FAME_Hydroxylamine (3TMS)
A110005-101-xxx	M000000_A110005-101-xxx_NA_253130,55_TRUE_VAR5_FAME_Acetoacetic acid (1MEOX) (1TMS) BP
A110006-101-xxx	M000000_A110006-101-xxx_NA_709877,69_PRED_VAR5_FAME_6-epi-castanospermine (4TMS)
A110007-101-xxx	M000000_A110007-101-xxx_NA_0_FALSE_VAR5_FAME_Butylamine_2TMS
A111001-101-xxx	M000000_A111001-101-xxx_NA_214925_TRUE_VAR5_FAME_Limonene, (+/-)-
A111002-101-xxx	M000000_A111002-101-xxx_NA_257535,97_TRUE_VAR5_FAME_Butanoic acid, 2-hydroxy- (2TMS)
A111004-101-xxx	M000000_A111004-101-xxx_NA_0_FALSE_VAR5_FAME_Benzaldehyde_1_1MeOX
A111005-101-xxx	M000000_A111005-101-xxx_NA_0_FALSE_VAR5_FAME_Norvaline_1TMS
A111006-101-xxx	M000000_A111006-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-002
A112001-101-xxx	M000000_A112001-101-xxx_NA_263994,06_TRUE_VAR5_FAME_Acetoacetic acid (1MEOX) (1TMS) MP
A112003-101-xxx	M000000_A112003-101-xxx_NA_263857,06_PRED_VAR5_FAME_NA
A112004-101-xxx	M000000_A112004-101-xxx_NA_0_FALSE_VAR5_FAME_Benzaldehyde_2_1MeOX
A113001-101-xxx	M000000_A113001-101-xxx_NA_0_FALSE_VAR5_FAME_similar to Cyclopentasiloxane, decamethyl
A113002-101-xxx	M000000_A113002-101-xxx_NA_261009,81_TRUE_VAR5_FAME_Oxalic acid (2TMS)
A113003-101-xxx	M000000_A113003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A113004-101-xxx	M000000_A113004-101-xxx_NA_265048,22_TRUE_VAR5_FAME_Sarcosine (2TMS)
A113005-101-xxx	M000000_A113005-101-xxx_NA_262320_TRUE_VAR5_FAME_Octanoic acid methyl ester (FAME MIX)
A113006-101-xxx	M000000_A113006-101-xxx_NA_268772,25_TRUE_VAR5_FAME_Valeric acid, 2-oxo- (1MEOX) (1TMS) BP
A113007-101-xxx	M000000_A113007-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-010
A114001-101-xxx	M000000_A114001-101-xxx_NA_255698,22_TRUE_VAR5_FAME_Glycine (2TMS)
A114002-101-xxx	M000000_A114002-101-xxx_NA_267900,34_PRED_VAR5_FAME_NA114002 (classified unknown)
A114003-101-xxx	M000000_A114003-101-xxx_NA_271709,28_TRUE_VAR5_FAME_Pyridine, 3-hydroxy- (1TMS)
A114004-101-xxx	M000000_A114004-101-xxx_NA_275942,06_TRUE_VAR5_FAME_Butyro-1,4-lactam (1TMS)
A114005-101-xxx	M000000_A114005-101-xxx_NA_0_FALSE_VAR5_FAME_Valeric acid, 3-hydroxy-3-methyl- (1TMS)
A114006-101-xxx	M000000_A114006-101-xxx_NA_0_FALSE_VAR5_FAME_Maleimide, N-ethyl-
A114008-101-xxx	M000000_A114008-101-xxx_NA_277798,28_PRED_VAR5_FAME_NA114008
A114009-101-xxx	M000000_A114009-101-xxx_NA_276290,62_PRED_VAR5_FAME_NA114009
A114012-101-xxx	M000000_A114012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-D05
A114013-101-xxx	M000000_A114013-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-D07
A114014-101-xxx	M000000_A114014-101-xxx_NA_0_FALSE_VAR5_FAME_Furan-2-carboxylic acid (1TMS)
A115001-101-xxx	M000000_A115001-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A115002-101-xxx	M000000_A115002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A115003-101-xxx	M000000_A115003-101-xxx_NA_280446,5_TRUE_VAR5_FAME_Benzylalcohol (1TMS)
A115004-101-xxx	M000000_A115004-101-xxx_NA_285341,72_TRUE_VAR5_FAME_Propane-1,3-diol, 2-amino-2-methyl- (2TMS)
A115005-101-xxx	M000000_A115005-101-xxx_NA_274352,22_TRUE_VAR5_FAME_Pentanoic acid, 2-propyl- (1TMS)
A115010-101-xxx	M000000_A115010-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-003
A115011-101-xxx	M000000_A115011-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-004
A115012-101-xxx	M000000_A115012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-011
A116001-101-xxx	M000000_A116001-101-xxx_NA_0_FALSE_VAR5_FAME_Sulfuric acid (2TMS)
A116002-101-xxx	M000000_A116002-101-xxx_NA_227134,98_TRUE_VAR5_FAME_Butanoic acid, 2-oxo- (1MEOX) (1TMS) BP
A116003-101-xxx	M000000_A116003-101-xxx_NA_244176,06_TRUE_VAR5_FAME_Butanoic acid, 2-oxo- (1MEOX) (1TMS) MP
A116004-101-xxx	M000000_A116004-101-xxx_NA_248108,41_TRUE_VAR5_FAME_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) MP
A116005-101-xxx	M000000_A116005-101-xxx_NA_283688,28_PRED_VAR5_FAME_Hexanoic acid, 2-ethyl- (1TMS)
A116006-101-xxx	M000000_A116006-101-xxx_NA_0_FALSE_VAR5_FAME_Octan-1-ol, n- (1TMS)
A116007-101-xxx	M000000_A116007-101-xxx_NA_278194,78_TRUE_VAR5_FAME_Butanoic acid, 3-hydroxy- (2TMS)
A116009-101-xxx	M000000_A116009-101-xxx_NA_0_FALSE_VAR5_FAME_Guanidine (3TMS)
A116010-101-xxx	M000000_A116010-101-xxx_NA_287899,41_TRUE_VAR5_FAME_Butanoic acid, 2-oxo- (2TMS)
A116011-101-xxx	M000000_A116011-101-xxx_NA_289316,25_PRED_VAR5_FAME_NA
A116012-101-xxx	M000000_A116012-101-xxx_NA_287549,69_PRED_VAR5_FAME_D116201
A116014-101-xxx	M000000_A116014-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-013
A117001-101-xxx	M000000_A117001-101-xxx_NA_0_FALSE_VAR5_FAME_Heptanoic acid, n- (1TMS)
A117002-101-xxx	M000000_A117002-101-xxx_NA_284816_TRUE_VAR5_FAME_Butanoic acid, 2-amino- (2TMS)
A117003-101-xxx	M000000_A117003-101-xxx_NA_281628,34_TRUE_VAR5_FAME_Pyridine, 4-hydroxy- (1TMS)
A117004-101-xxx	M000000_A117004-101-xxx_NA_287809,91_TRUE_VAR5_FAME_Valeric acid, 2-oxo- (1MEOX) (1TMS) MP
A117005-101-xxx	M000000_A117005-101-xxx_NA_0_FALSE_VAR5_FAME_Menthol, L-(-)- (1TMS)
A117006-101-xxx	M000000_A117006-101-xxx_NA_294020,06_TRUE_VAR5_FAME_Proline (1TMS)
A117007-101-xxx	M000000_A117007-101-xxx_NA_294535,47_TRUE_VAR5_FAME_Succinic semialdehyde (1MEOX) (1TMS) MP
A117009-101-xxx	M000000_A117009-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-014
A117010-101-xxx	M000000_A117010-101-xxx_NA_0_FALSE_VAR5_FAME_Succinic-acid_methylester_1TMS
A118001-101-xxx	M000000_A118001-101-xxx_NA_279528,66_TRUE_VAR5_FAME_Leucine (1TMS)
A118002-101-xxx	M000000_A118002-101-xxx_NA_267750,47_TRUE_VAR5_FAME_Isobutanoic acid, 2-amino- (2TMS)
A118003-101-xxx	M000000_A118003-101-xxx_NA_297347,62_TRUE_VAR5_FAME_Succinic semialdehyde (1MEOX) (1TMS) BP
A118004-101-xxx	M000000_A118004-101-xxx_NA_299150,09_TRUE_VAR5_FAME_Phenylacetaldehyde (1MEOX) BP
A118006-101-xxx	M000000_A118006-101-xxx_NA_303942,56_PRED_VAR5_FAME_NA
A118008-101-xxx	M000000_A118008-101-xxx_NA_303743,56_PRED_VAR5_FAME_D118786
A118009-101-xxx	M000000_A118009-101-xxx_NA_0_FALSE_VAR5_FAME_3-Methyl-2-oxopentanoic-acid_1_1MeOX_1TMS
A118010-101-xxx	M000000_A118010-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-067
A119001-101-xxx	M000000_A119001-101-xxx_NA_288946,69_TRUE_VAR5_FAME_Phosphoric acid monomethyl ester (2TMS)
A119002-101-xxx	M000000_A119002-101-xxx_NA_293270,16_TRUE_VAR5_FAME_Isoleucine (1TMS)
A119004-101-xxx	M000000_A119004-101-xxx_NA_298580,69_TRUE_VAR5_FAME_Alanine, beta- (2TMS)
A119005-101-xxx	M000000_A119005-101-xxx_NA_307457,25_TRUE_VAR5_FAME_Norleucine (1TMS)
A119006-101-xxx	M000000_A119006-101-xxx_NA_304563_TRUE_VAR5_FAME_Leucine, cyclo- (1TMS)
A119007-101-xxx	M000000_A119007-101-xxx_NA_303008,12_TRUE_VAR5_FAME_Phenylacetaldehyde (1MEOX) MP
A119010-101-xxx	M000000_A119010-101-xxx_NA_0_FALSE_VAR5_FAME_3-Methyl-2-oxopentanoic-acid_2_1MeOX_1TMS
A119011-101-xxx	M000000_A119011-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-015
A119012-101-xxx	M000000_A119012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-004
A120001-101-xxx	M000000_A120001-101-xxx_NA_310012,28_PRED_VAR5_FAME_Dodecane
A120002-101-xxx	M000000_A120002-101-xxx_NA_307875,47_TRUE_VAR5_FAME_Acetoacetic acid (2TMS) BP
A120003-101-xxx	M000000_A120003-101-xxx_NA_309170,81_TRUE_VAR5_FAME_Isobutanoic acid, 3-amino- (2TMS)
A121001-101-xxx	M000000_A121001-101-xxx_NA_0_FALSE_VAR5_FAME_Butyric acid, 3-amino-, DL- (2TMS)
A121002-101-xxx	M000000_A121002-101-xxx_NA_310106,44_TRUE_VAR5_FAME_Cyclopropanecarboxylic acid, 1-amino- (2TMS)
A121003-101-xxx	M000000_A121003-101-xxx_NA_262889,88_TRUE_VAR5_FAME_Isovaleric acid, 2-oxo- (1MEOX) (1TMS) BP
A122001-101-xxx	M000000_A122001-101-xxx_NA_312469,41_TRUE_VAR5_FAME_Valine (2TMS)
A122002-101-xxx	M000000_A122002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A122003-101-xxx	M000000_A122003-101-xxx_NA_306141,09_TRUE_VAR5_FAME_Malonic acid (2TMS)
A122004-101-xxx	M000000_A122004-101-xxx_NA_312442,41_TRUE_VAR5_FAME_Malonic acid, methyl- (2TMS)
A122011-101-xxx	M000000_A122011-101-xxx_NA_0_FALSE_VAR5_FAME_Dihydroxyacetone_2TMS
A122014-101-xxx	M000000_A122014-101-xxx_NA_0_FALSE_VAR5_FAME_Levulinic acid (1MEOX) (1TMS) BP
A123002-101-xxx	M000000_A123002-101-xxx_NA_0_FALSE_VAR5_FAME_similar to Pentasiloxane, dodecamethyl
A123003-101-xxx	M000000_A123003-101-xxx_NA_311550,91_TRUE_VAR5_FAME_Glyceraldehyde (1MEOX) (2TMS) MP
A123004-101-xxx	M000000_A123004-101-xxx_NA_304645,06_TRUE_VAR5_FAME_Glyceraldehyde (1MEOX) (2TMS) BP
A123005-101-xxx	M000000_A123005-101-xxx_NA_323881,84_TRUE_VAR5_FAME_Hydroxyurea (3TMS)
A123006-101-xxx	M000000_A123006-101-xxx_NA_323120_TRUE_VAR5_FAME_Nonanoic acid methyl ester (FAME MIX)
A123007-101-xxx	M000000_A123007-101-xxx_NA_331481,12_TRUE_VAR5_FAME_Acetoacetic acid (2TMS) MP
A123008-101-xxx	M000000_A123008-101-xxx_NA_329571,72_TRUE_VAR5_FAME_Isocaproic acid, 2-oxo- (2TMS)
A124001-101-xxx	M000000_A124001-101-xxx_NA_319785,56_TRUE_VAR5_FAME_Propanoic acid, 2-amino-2-methyl-3-hydroxy- (2TMS)
A124002-101-xxx	M000000_A124002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A124003-101-xxx	M000000_A124003-101-xxx_NA_332896,78_TRUE_VAR5_FAME_1,3-Dihydroxyaceton (1MEOX) (2TMS) MP
A124004-101-xxx	M000000_A124004-101-xxx_NA_334785_PRED_VAR5_FAME_NA
A124006-101-xxx	M000000_A124006-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-016
A124007-101-xxx	M000000_A124007-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-008
A124010-101-xxx	M000000_A124010-101-xxx_NA_0_FALSE_VAR5_FAME_Levulinic acid (1MEOX) (1TMS) MP
A125001-101-xxx	M000000_A125001-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A125002-101-xxx	M000000_A125002-101-xxx_NA_289527,47_TRUE_VAR5_FAME_Isocaproic acid, 2-oxo- (1MEOX) (1TMS) BP
A125003-101-xxx	M000000_A125003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A125004-101-xxx	M000000_A125004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A125005-101-xxx	M000000_A125005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A125006-101-xxx	M000000_A125006-101-xxx_NA_337816,44_TRUE_VAR5_FAME_Propargyl-glycine (2TMS)
A125007-101-xxx	M000000_A125007-101-xxx_NA_340003,38_TRUE_VAR5_FAME_Oxamic acid (2TMS)
A125011-101-xxx	M000000_A125011-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-009
A125012-101-xxx	M000000_A125012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-010a
A125015-101-xxx	M000000_A125015-101-xxx_NA_0_FALSE_VAR5_FAME_Alanineamide (2TMS)
A126001-101-xxx	M000000_A126001-101-xxx_NA_0_FALSE_VAR5_FAME_Norvaline, DL- (2TMS)
A126002-101-xxx	M000000_A126002-101-xxx_NA_325957,25_TRUE_VAR5_FAME_Butanoic acid, 4-hydroxy- (2TMS)
A126003-101-xxx	M000000_A126003-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A126004-101-xxx	M000000_A126004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A126006-101-xxx	M000000_A126006-101-xxx_NA_0_FALSE_VAR5_FAME_Propylamine-2,3-diol (3TMS)
A126007-101-xxx	M000000_A126007-101-xxx_NA_353543,69_TRUE_VAR5_FAME_Pyruvic acid, 3-hydroxy- (1MEOX) (2TMS) BP
A126008-101-xxx	M000000_A126008-101-xxx_NA_348126,75_TRUE_VAR5_FAME_Pyrrole-2-carboxylic acid (1TMS)
A126011-101-xxx	M000000_A126011-101-xxx_NA_348395,72_PRED_VAR5_FAME_D126702
A126013-101-xxx	M000000_A126013-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-018
A127001-101-xxx	M000000_A127001-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A127002-101-xxx	M000000_A127002-101-xxx_NA_0_FALSE_VAR5_FAME_Urea (2TMS)
A127003-101-xxx	M000000_A127003-101-xxx_NA_330516,88_PRED_VAR5_FAME_Diethylenglycol (2TMS)
A127004-101-xxx	M000000_A127004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A127005-101-xxx	M000000_A127005-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A127006-101-xxx	M000000_A127006-101-xxx_NA_343475,75_TRUE_VAR5_FAME_Octanoic acid, n- (1TMS)
A127007-101-xxx	M000000_A127007-101-xxx_NA_311485_TRUE_VAR5_FAME_Isocaproic acid, 2-oxo- (1MEOX) (1TMS) MP
A127011-101-xxx	M000000_A127011-101-xxx_NA_381020_TRUE_VAR5_FAME_Pyruvic acid, 3-hydroxy- (1MEOX) (2TMS) MP
A127012-101-xxx	M000000_A127012-101-xxx_NA_349226,38_TRUE_VAR5_FAME_2-Piperidinecarboxylic acid (1TMS)
A127013-101-xxx	M000000_A127013-101-xxx_NA_353059,19_TRUE_VAR5_FAME_Diethanolamine (2TMS)
A127015-101-xxx	M000000_A127015-101-xxx_NA_352901,56_PRED_VAR5_FAME_NA127015
A127017-101-xxx	M000000_A127017-101-xxx_NA_0_FALSE_VAR5_FAME_Sarcosineamide (2TMS)
A128001-101-xxx	M000000_A128001-101-xxx_NA_338761,53_TRUE_VAR5_FAME_Serine (2TMS)
A128002-101-xxx	M000000_A128002-101-xxx_NA_344687,44_PRED_VAR5_FAME_Ethanolamine (3TMS)
A128003-101-xxx	M000000_A128003-101-xxx_NA_338478,53_TRUE_VAR5_FAME_Benzoic acid, (1TMS)
A128004-101-xxx	M000000_A128004-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A128005-101-xxx	M000000_A128005-101-xxx_NA_349017,91_TRUE_VAR5_FAME_Ribofuranose, 2-deoxy- [-H2O] (2TMS)
A128008-101-xxx	M000000_A128008-101-xxx_NA_0_FALSE_VAR5_FAME_1-Pyrroline-2-carboxylate (1TMS)
A128009-101-xxx	M000000_A128009-101-xxx_NA_356498,44_TRUE_VAR5_FAME_Tropine (1TMS)
A128010-101-xxx	M000000_A128010-101-xxx_NA_489653,53_TRUE_VAR5_FAME_Acetylsalicylic acid (1TMS)
A128011-101-xxx	M000000_A128011-101-xxx_NA_358087,16_TRUE_VAR5_FAME_Threonine, allo- (2TMS)
A128012-101-xxx	M000000_A128012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-019
A128013-101-xxx	M000000_A128013-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#sst-cgl-014
A129001-101-xxx	M000000_A129001-101-xxx_NA_344280,34_TRUE_VAR5_FAME_Phosphoric acid (3TMS)
A129002-101-xxx	M000000_A129002-101-xxx_NA_345291,62_TRUE_VAR5_FAME_Leucine (2TMS)
A129003-101-xxx	M000000_A129003-101-xxx_NA_344018,22_TRUE_VAR5_FAME_Glycerol (3TMS)
A129004-101-xxx	M000000_A129004-101-xxx_NA_368714,19_TRUE_VAR5_FAME_Propane-1,3-diol, 2-amino-2-methyl- (3TMS)
A129005-101-xxx	M000000_A129005-101-xxx_NA_0_FALSE_VAR5_FAME_Valero-1,5-lactam (1TMS)
A129006-101-xxx	M000000_A129006-101-xxx_NA_0_FALSE_VAR5_FAME_Alanine, N-acetyl-, DL- (1TMS)
A129007-101-xxx	M000000_A129007-101-xxx_NA_0_FALSE_VAR5_FAME_Nonan-1-ol, n- (1TMS)
A129008-101-xxx	M000000_A129008-101-xxx_NA_362525,06_TRUE_VAR5_FAME_Tropinone (1MEOX)
A129011-101-xxx	M000000_A129011-101-xxx_NA_364525,47_PRED_VAR5_FAME_NA
A129012-101-xxx	M000000_A129012-101-xxx_NA_0_FALSE_VAR5_FAME_NA129012
A129014-101-xxx	M000000_A129014-101-xxx_NA_0_FALSE_VAR5_FAME_Homoserine-lactone_1TMS
A130001-101-xxx	M000000_A130001-101-xxx_NA_0_FALSE_VAR5_FAME_Glycine, N-acetyl- (1TMS)
A130002-101-xxx	M000000_A130002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A130003-101-xxx	M000000_A130003-101-xxx_NA_0_FALSE_VAR5_FAME_Siloxane
A130004-101-xxx	M000000_A130004-101-xxx_NA_0_FALSE_VAR5_FAME_Tridecane, n-
A130005-101-xxx	M000000_A130005-101-xxx_NA_369939,75_TRUE_VAR5_FAME_Oxamide (3TMS)
A130006-101-xxx	M000000_A130006-101-xxx_NA_366937,56_TRUE_VAR5_FAME_Phenylacetic acid (1TMS)
A130007-101-xxx	M000000_A130007-101-xxx_NA_368622,28_TRUE_VAR5_FAME_Diisopropanolamine (2TMS)
A130012-101-xxx	M000000_A130012-101-xxx_NA_0_FALSE_VAR5_FAME_Glycinamide (2TMS) BP1
A131001-101-xxx	M000000_A131001-101-xxx_NA_0_FALSE_VAR5_FAME_similar to Diethanolamine (2TMS)
A131002-101-xxx	M000000_A131002-101-xxx_NA_0_FALSE_VAR5_FAME_NA
A131003-101-xxx	M000000_A131003-101-xxx_NA_0_FALSE_VAR5_FAME_similar to Cyclohexasiloxane, dodecamethyl
A131004-101-xxx	M000000_A131004-101-xxx_NA_0_FALSE_VAR5_FAME_Caproic acid, 2-oxo- (1MEOX) (1TMS)
A131006-101-xxx	M000000_A131006-101-xxx_NA_372837,75_TRUE_VAR5_FAME_Pyridine, 2,3-dihydroxy- (2TMS)
A131007-101-xxx	M000000_A131007-101-xxx_NA_355371,03_TRUE_VAR5_FAME_Threonine, O-methyl-, L- (2TMS)
A131008-101-xxx	M000000_A131008-101-xxx_NA_369525,38_TRUE_VAR5_FAME_NA
A131009-101-xxx	M000000_A131009-101-xxx_NA_375804,09_TRUE_VAR5_FAME_Succinic acid, 2,2-dimethyl- (2TMS)
A131010-101-xxx	M000000_A131010-101-xxx_NA_373671,28_TRUE_VAR5_FAME_Propanoic acid, 2-amino-3-ureido- (1TMS)
A131011-101-xxx	M000000_A131011-101-xxx_NA_376489,19_PRED_VAR5_FAME_NA
A131017-101-xxx	M000000_A131017-101-xxx_NA_0_FALSE_VAR5_FAME_3-Methylcatechol_2TMS
A131018-101-xxx	M000000_A131018-101-xxx_NA_0_FALSE_VAR5_FAME_Catechol_2TMS
A131019-101-xxx	M000000_A131019-101-xxx_NA_0_FALSE_VAR5_FAME_Cyclohexylcyclohexane
A132001-101-xxx	M000000_A132001-101-xxx_NA_360100,66_TRUE_VAR5_FAME_Threonine (2TMS)
A132002-101-xxx	M000000_A132002-101-xxx_NA_358081,75_TRUE_VAR5_FAME_Isoleucine (2TMS)
A132003-101-xxx	M000000_A132003-101-xxx_NA_363218,59_TRUE_VAR5_FAME_Proline (2TMS)
A132004-101-xxx	M000000_A132004-101-xxx_NA_0_FALSE_VAR5_FAME_Cysteine, S-methyl-, DL- (1TMS)
A132008-101-xxx	M000000_A132008-101-xxx_NA_338685,59_TRUE_VAR5_FAME_Caproic acid, 2-oxo- (1MEOX) (1TMS) MP
A132009-101-xxx	M000000_A132009-101-xxx_NA_381711,25_TRUE_VAR5_FAME_Oxamide (2TMS)
A132010-101-xxx	M000000_A132010-101-xxx_NA_379339,34_TRUE_VAR5_FAME_Benzamidine
A132012-101-xxx	M000000_A132012-101-xxx_NA_0_FALSE_VAR5_FAME_Unknown#bth-pae-020
A132015-101-xxx	M000000_A132015-101-xxx_NA_0_FALSE_VAR5_FAME_2,5-Piperazinedione,3,6-dimethyl- (2TMS) BP
A132016-101-xxx	M000000_A132016-101-xxx_NA_0_FALSE_VAR5_FAME_Aminomalonic acid (2TMS)
A133001-101-xxx	M000000_A133001-101-xxx_NA_366771,34_TRUE_VAR5_FAME_Glycine (3TMS)
A133002-101-xxx	M000000_A133002-101-xxx_NA_364135,06_TRUE_VAR5_FAME_Butanoic acid, 4-amino- (2TMS)
A133003-101-xxx	M000000_A133003-101-xxx_NA_366397,12_TRUE_VAR5_FAME_Maleic acid (2TMS)
A133004-101-xxx	M000000_A133004-101-xxx_NA_366120,84_TRUE_VAR5_FAME_Nicotinic acid (1TMS)
A133007-101-xxx	M000000_A133007-101-xxx_NA_381020_TRUE_VAR5_FAME_Decanoic acid, methyl ester (FAME MIX)
